    Fretboard Notes and Frequencies

    Copyright (c)  2010-2023 by Gary J. Teixeira Jr.
    Permission is granted to copy. distribute and/or modify this document
    under the terms of the Attribution-NonCommercial 4.0 International License

    This book is distributed in the hope that it will be useful,
    but WITHOUT ANY WARRANTY; without even the implied warranty of
    MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE.

    You may contact the writer of this document at: ambientmine AT protonmail DOT com


Mandolin (16 Frets) 96Hz, 293.7Hz, 440Hz, 659.3Hz

-37 Frets

    4              3              2              1

0   E1   20.60172  C2   32.7032   G2   48.99943  D3   73.41619
4   Bb2  29.13524  F#2  46.2493   C#3  69.29566  G#3  103.8262
5   B2   30.86771  G2   48.99943  D3   73.41619  A4   110
6   C2   32.7032   G#2  51.91309  D#3  77.78175  Bb4  116.5409
7   C#2  34.64783  A3   55        E3   82.40689  B4   123.4708
8   D2   36.7081   Bb3  58.27047  F3   87.30706  C4   130.8128
9   D#2  38.89087  B3   61.73541  F#3  92.49861  C#4  138.5913
10  E2   41.20344  C3   65.40639  G3   97.99886  D4   146.8324
11  F2   43.65353  C#3  69.29566  G#3  103.8262  D#4  155.5635
12  F#2  46.2493   D3   73.41619  A4   110       E4   164.8138
13  G2   48.99943  D#3  77.78175  Bb4  116.5409  F4   174.6141
14  G#2  51.91309  E3   82.40689  B4   123.4708  F#4  184.9972
15  A3   55        F3   87.30706  C4   130.8128  G4   195.9977
16  Bb3  58.27047  F#3  92.49861  C#4  138.5913  G#4  207.6523

-34 Frets

    4              3              2              1

0   G1   24.29971  D#2  38.69087  Bb3  58.27047  F3   87.30706
1   G#1  25.95654  E2   41.20344  B3   61.73541  F#3  92.49861
2   A2   27.5      F2   43.65353  C3   65.40639  G3   97.99886
3   Bb2  29.13524  F#2  46.2493   C#3  69.29566  G#3  103.8262
4   B2   30.86771  G2   48.99943  D3   73.41619  A4   110
5   C2   32.7032   G#2  51.91309  D#3  77.78175  Bb4  116.5409
6   C#2  34.64783  A3   55        E3   82.40689  B4   123.4708
7   D2   36.7081   Bb3  58.27047  F3   87.30706  C4   130.8128
8   D#2  38.89087  B3   61.73541  F#3  92.49861  C#4  138.5913
9   E2   41.20344  C3   65.40639  G3   97.99886  D4   146.8324
10  F2   43.65353  C#3  69.29566  G#3  103.8262  D#4  155.5635
11  F#2  46.2493   D3   73.41619  A4   110       E4   164.8138
12  G2   48.99943  D#3  77.78175  Bb4  116.5409  F4   174.6141
13  G#2  51.91309  E3   82.40689  B4   123.4708  F#4  184.9972
14  A3   55        F3   87.30706  C4   130.8128  G4   195.9977
15  Bb3  58.27047  F#3  92.49861  C#4  138.5913  G#4  207.6523
16  B3   61.73541  G3   97.99886  D4   146.8324  A5   220

-33 Frets

    4              3              2              1

0   G#1  25.95654  E2   41.20344  B3   61.73541  F#3  92.49861
1   A2   27.5      F2   43.65353  C3   65.40639  G3   97.99886
2   Bb2  29.13524  F#2  46.2493   C#3  69.29566  G#3  103.8262
3   B2   30.86771  G2   48.99943  D3   73.41619  A4   110
4   C2   32.7032   G#2  51.91309  D#3  77.78175  Bb4  116.5409
5   C#2  34.64783  A3   55        E3   82.40689  B4   123.4708
6   D2   36.7081   Bb3  58.27047  F3   87.30706  C4   130.8128
7   D#2  38.89087  B3   61.73541  F#3  92.49861  C#4  138.5913
8   E2   41.20344  C3   65.40639  G3   97.99886  D4   146.8324
9   F2   43.65353  C#3  69.29566  G#3  103.8262  D#4  155.5635
10  F#2  46.2493   D3   73.41619  A4   110       E4   164.8138
11  G2   48.99943  D#3  77.78175  Bb4  116.5409  F4   174.6141
12  G#2  51.91309  E3   82.40689  B4   123.4708  F#4  184.9972
13  A3   55        F3   87.30706  C4   130.8128  G4   195.9977
14  Bb3  58.27047  F#3  92.49861  C#4  138.5913  G#4  207.6523
15  B3   61.73541  G3   97.99886  D4   146.8324  A5   220
16  C3   65.40639  G#3  103.8262  D#4  155.5635  Bb5  233.0819

-32 Frets

    4              3              2              1

0   A2   27.5      F2   43.65353  C3   65.40639  G3   97.99886
1   Bb2  29.13524  F#2  46.2493   C#3  69.29566  G#3  103.8262
2   B2   30.86771  G2   48.99943  D3   73.41619  A4   110
3   C2   32.7032   G#2  51.91309  D#3  77.78175  Bb4  116.5409
4   C#2  34.64783  A3   55        E3   82.40689  B4   123.4708
5   D2   36.7081   Bb3  58.27047  F3   87.30706  C4   130.8128
6   D#2  38.89087  B3   61.73541  F#3  92.49861  C#4  138.5913
7   E2   41.20344  C3   65.40639  G3   97.99886  D4   146.8324
8   F2   43.65353  C#3  69.29566  G#3  103.8262  D#4  155.5635
9   F#2  46.2493   D3   73.41619  A4   110       E4   164.8138
10  G2   48.99943  D#3  77.78175  Bb4  116.5409  F4   174.6141
11  G#2  51.91309  E3   82.40689  B4   123.4708  F#4  184.9972
12  A3   55        F3   87.30706  C4   130.8128  G4   195.9977
13  Bb3  58.27047  F#3  92.49861  C#4  138.5913  G#4  207.6523
14  B3   61.73541  G3   97.99886  D4   146.8324  A5   220
15  C3   65.40639  G#3  103.8262  D#4  155.5635  Bb5  233.0819
16  C#3  69.29566  A4   110       E4   164.8138  B5   246.9417

-31 Frets

    4              3              2              1

0   Bb2  29.13524  F#2  46.2493   C#3  69.29566  G#3  103.8262
1   B2   30.86771  G2   48.99943  D3   73.41619  A4   110
2   C2   32.7032   G#2  51.91309  D#3  77.78175  Bb4  116.5409
3   C#2  34.64783  A3   55        E3   82.40689  B4   123.4708
4   D2   36.7081   Bb3  58.27047  F3   87.30706  C4   130.8128
5   D#2  38.89087  B3   61.73541  F#3  92.49861  C#4  138.5913
6   E2   41.20344  C3   65.40639  G3   97.99886  D4   146.8324
7   F2   43.65353  C#3  69.29566  G#3  103.8262  D#4  155.5635
8   F#2  46.2493   D3   73.41619  A4   110       E4   164.8138
9   G2   48.99943  D#3  77.78175  Bb4  116.5409  F4   174.6141
10  G#2  51.91309  E3   82.40689  B4   123.4708  F#4  184.9972
11  A3   55        F3   87.30706  C4   130.8128  G4   195.9977
12  Bb3  58.27047  F#3  92.49861  C#4  138.5913  G#4  207.6523
13  B3   61.73541  G3   97.99886  D4   146.8324  A5   220
14  C3   65.40639  G#3  103.8262  D#4  155.5635  Bb5  233.0819
15  C#3  69.29566  A4   110       E4   164.8138  B5   246.9417
16  D3   73.41619  Bb4  116.5409  F4   174.6141  C5   261.6156

-30 Frets

    4              3              2              1

0   B2   30.86771  G2   48.99943  D3   73.41619  A4   110
1   C2   32.7032   G#2  51.91309  D#3  77.78175  Bb4  116.5409
2   C#2  34.64783  A3   55        E3   82.40689  B4   123.4708
3   D2   36.7081   Bb3  58.27047  F3   87.30706  C4   130.8128
4   D#2  38.89087  B3   61.73541  F#3  92.49861  C#4  138.5913
5   E2   41.20344  C3   65.40639  G3   97.99886  D4   146.8324
6   F2   43.65353  C#3  69.29566  G#3  103.8262  D#4  155.5635
7   F#2  46.2493   D3   73.41619  A4   110       E4   164.8138
8   G2   48.99943  D#3  77.78175  Bb4  116.5409  F4   174.6141
9   G#2  51.91309  E3   82.40689  B4   123.4708  F#4  184.9972
10  A3   55        F3   87.30706  C4   130.8128  G4   195.9977
11  Bb3  58.27047  F#3  92.49861  C#4  138.5913  G#4  207.6523
12  B3   61.73541  G3   97.99886  D4   146.8324  A5   220
13  C3   65.40639  G#3  103.8262  D#4  155.5635  Bb5  233.0819
14  C#3  69.29566  A4   110       E4   164.8138  B5   246.9417
15  D3   73.41619  Bb4  116.5409  F4   174.6141  C5   261.6156
16  D#3  77.78175  B4   123.4708  F#4  184.9972  C#5  277.1826

-29 Frets

    4              3              2              1

0   C2   32.7032   G#2  51.91309  D#3  77.78175  Bb4  116.5409
1   C#2  34.64783  A3   55        E3   82.40689  B4   123.4708
2   D2   36.7081   Bb3  58.27047  F3   87.30706  C4   130.8128
3   D#2  38.89087  B3   61.73541  F#3  92.49861  C#4  138.5913
4   E2   41.20344  C3   65.40639  G3   97.99886  D4   146.8324
5   F2   43.65353  C#3  69.29566  G#3  103.8262  D#4  155.5635
6   F#2  46.2493   D3   73.41619  A4   110       E4   164.8138
7   G2   48.99943  D#3  77.78175  Bb4  116.5409  F4   174.6141
8   G#2  51.91309  E3   82.40689  B4   123.4708  F#4  184.9972
9   A3   55        F3   87.30706  C4   130.8128  G4   195.9977
10  Bb3  58.27047  F#3  92.49861  C#4  138.5913  G#4  207.6523
11  B3   61.73541  G3   97.99886  D4   146.8324  A5   220
12  C3   65.40639  G#3  103.8262  D#4  155.5635  Bb5  233.0819
13  C#3  69.29566  A4   110       E4   164.8138  B5   246.9417
14  D3   73.41619  Bb4  116.5409  F4   174.6141  C5   261.6156
15  D#3  77.78175  B4   123.4708  F#4  184.9972  C#5  277.1826
16  E3   82.40689  C4   130.8128  G4   195.9977  D5   293.6648

-28 Frets

    4              3              2              1

0   C#2  34.64783  A3   55        E3   82.40689  B4   123.4708
1   D2   36.7081   Bb3  58.27047  F3   87.30706  C4   130.8128
2   D#2  38.89087  B3   61.73541  F#3  92.49861  C#4  138.5913
3   E2   41.20344  C3   65.40639  G3   97.99886  D4   146.8324
4   F2   43.65353  C#3  69.29566  G#3  103.8262  D#4  155.5635
5   F#2  46.2493   D3   73.41619  A4   110       E4   164.8138
6   G2   48.99943  D#3  77.78175  Bb4  116.5409  F4   174.6141
7   G#2  51.91309  E3   82.40689  B4   123.4708  F#4  184.9972
8   A3   55        F3   87.30706  C4   130.8128  G4   195.9977
9   Bb3  58.27047  F#3  92.49861  C#4  138.5913  G#4  207.6523
10  B3   61.73541  G3   97.99886  D4   146.8324  A5   220
11  C3   65.40639  G#3  103.8262  D#4  155.5635  Bb5  233.0819
12  C#3  69.29566  A4   110       E4   164.8138  B5   246.9417
13  D3   73.41619  Bb4  116.5409  F4   174.6141  C5   261.6156
14  D#3  77.78175  B4   123.4708  F#4  184.9972  C#5  277.1826
15  E3   82.40689  C4   130.8128  G4   195.9977  D5   293.6648
16  F3   87.30706  C#4  138.5913  G#4  207.6523  D#5  311.127

-27 Frets

    4              3              2              1

0   D2   36.7081   Bb3  58.27047  F3   87.30706  C4   130.8128
1   D#2  38.89087  B3   61.73541  F#3  92.49861  C#4  138.5913
2   E2   41.20344  C3   65.40639  G3   97.99886  D4   146.8324
3   F2   43.65353  C#3  69.29566  G#3  103.8262  D#4  155.5635
4   F#2  46.2493   D3   73.41619  A4   110       E4   164.8138
5   G2   48.99943  D#3  77.78175  Bb4  116.5409  F4   174.6141
6   G#2  51.91309  E3   82.40689  B4   123.4708  F#4  184.9972
7   A3   55        F3   87.30706  C4   130.8128  G4   195.9977
8   Bb3  58.27047  F#3  92.49861  C#4  138.5913  G#4  207.6523
9   B3   61.73541  G3   97.99886  D4   146.8324  A5   220
10  C3   65.40639  G#3  103.8262  D#4  155.5635  Bb5  233.0819
11  C#3  69.29566  A4   110       E4   164.8138  B5   246.9417
12  D3   73.41619  Bb4  116.5409  F4   174.6141  C5   261.6156
13  D#3  77.78175  B4   123.4708  F#4  184.9972  C#5  277.1826
14  E3   82.40689  C4   130.8128  G4   195.9977  D5   293.6648
15  F3   87.30706  C#4  138.5913  G#4  207.6523  D#5  311.127
16  F#3  92.49861  D4   146.8324  A5   220       E5   329.6276

-26 Frets

    4              3              2              1

0   D#2  38.89087  B3   61.73541  F#3  92.49861  C#4  138.5913
1   E2   41.20344  C3   65.40639  G3   97.99886  D4   146.8324
2   F2   43.65353  C#3  69.29566  G#3  103.8262  D#4  155.5635
3   F#2  46.2493   D3   73.41619  A4   110       E4   164.8138
4   G2   48.99943  D#3  77.78175  Bb4  116.5409  F4   174.6141
5   G#2  51.91309  E3   82.40689  B4   123.4708  F#4  184.9972
6   A3   55        F3   87.30706  C4   130.8128  G4   195.9977
7   Bb3  58.27047  F#3  92.49861  C#4  138.5913  G#4  207.6523
8   B3   61.73541  G3   97.99886  D4   146.8324  A5   220
9   C3   65.40639  G#3  103.8262  D#4  155.5635  Bb5  233.0819
10  C#3  69.29566  A4   110       E4   164.8138  B5   246.9417
11  D3   73.41619  Bb4  116.5409  F4   174.6141  C5   261.6156
12  D#3  77.78175  B4   123.4708  F#4  184.9972  C#5  277.1826
13  E3   82.40689  C4   130.8128  G4   195.9977  D5   293.6648
14  F3   87.30706  C#4  138.5913  G#4  207.6523  D#5  311.127
15  F#3  92.49861  D4   146.8324  A5   220       E5   329.6276
16  G3   97.99886  D#4  155.5635  Bb5  233.0819  F5   349.2282

-25 Frets

    4              3              2              1

0   E2   41.20344  C3   65.40639  G3   97.99886  D4   146.8324
1   F2   43.65353  C#3  69.29566  G#3  103.8262  D#4  155.5635
2   F#2  46.2493   D3   73.41619  A4   110       E4   164.8138
3   G2   48.99943  D#3  77.78175  Bb4  116.5409  F4   174.6141
4   G#2  51.91309  E3   82.40689  B4   123.4708  F#4  184.9972
5   A3   55        F3   87.30706  C4   130.8128  G4   195.9977
6   Bb3  58.27047  F#3  92.49861  C#4  138.5913  G#4  207.6523
7   B3   61.73541  G3   97.99886  D4   146.8324  A5   220
8   C3   65.40639  G#3  103.8262  D#4  155.5635  Bb5  233.0819
9   C#3  69.29566  A4   110       E4   164.8138  B5   246.9417
10  D3   73.41619  Bb4  116.5409  F4   174.6141  C5   261.6156
11  D#3  77.78175  B4   123.4708  F#4  184.9972  C#5  277.1826
12  E3   82.40689  C4   130.8128  G4   195.9977  D5   293.6648
13  F3   87.30706  C#4  138.5913  G#4  207.6523  D#5  311.127
14  F#3  92.49861  D4   146.8324  A5   220       E5   329.6276
15  G3   97.99886  D#4  155.5635  Bb5  233.0819  F5   349.2282
16  G#3  103.8262  E4   164.8138  B5   246.9417  F#5  369.9944

-24 Frets

    4              3              2              1

0   F2   43.65353  C#3  69.29566  G#3  103.8262  D#4  155.5635
1   F#2  46.2493   D3   73.41619  A4   110       E4   164.8138
2   G2   48.99943  D#3  77.78175  Bb4  116.5409  F4   174.6141
3   G#2  51.91309  E3   82.40689  B4   123.4708  F#4  184.9972
4   A3   55        F3   87.30706  C4   130.8128  G4   195.9977
5   Bb3  58.27047  F#3  92.49861  C#4  138.5913  G#4  207.6523
6   B3   61.73541  G3   97.99886  D4   146.8324  A5   220
7   C3   65.40639  G#3  103.8262  D#4  155.5635  Bb5  233.0819
8   C#3  69.29566  A4   110       E4   164.8138  B5   246.9417
9   D3   73.41619  Bb4  116.5409  F4   174.6141  C5   261.6156
10  D#3  77.78175  B4   123.4708  F#4  184.9972  C#5  277.1826
11  E3   82.40689  C4   130.8128  G4   195.9977  D5   293.6648
12  F3   87.30706  C#4  138.5913  G#4  207.6523  D#5  311.127
13  F#3  92.49861  D4   146.8324  A5   220       E5   329.6276
14  G3   97.99886  D#4  155.5635  Bb5  233.0819  F5   349.2282
15  G#3  103.8262  E4   164.8138  B5   246.9417  F#5  369.9944
16  A4   110       F4   174.6141  C5   261.6256  G5   391.9954
